Model Name,Train RMSE,Train MSE,Train MAE,Test RMSE,Test MSE,Test MAE
./models/LSTM_A0.001_2_8_12,0.2438333962694174,0.059454725136278745,0.17440114213851257,0.5287021904054675,0.27952600613953926,0.3811805781636918
./models/LSTM_A0.001_2_8_24,0.28515508684790203,0.08131342355523455,0.19401947841387607,0.5334289156359263,0.28454640803652015,0.42196583117270964
./models/LSTM_A0.001_2_8_36,0.23407961843577962,0.05479326776704018,0.16819363491733874,0.42020261251520613,0.17657023556460447,0.3235794396497766
./models/LSTM_A0.001_2_8_48,0.23760808956261412,0.05645760422559525,0.16895981107992697,0.6968821484993367,0.48564472889705157,0.5947960229698491
./models/LSTM_A0.001_2_8_60,0.36404055555652476,0.1325255260899032,0.20743609053298886,3.6766802026695196,13.51797731270198,3.657997644336856
./models/LSTM_A0.001_2_16_12,0.20951417923293933,0.04389619129965223,0.15259377881210037,0.70098238368915,0.4913763022425227,0.6651365014387638
./models/LSTM_A0.001_2_16_24,0.18918408563313519,0.03579061825684542,0.14381663866171435,0.656587778604284,0.43110751101250827,0.6101460392426472
./models/LSTM_A0.001_2_16_36,0.262891921875866,0.06911216258758644,0.17407106636837122,0.5226009845170085,0.27311178901814664,0.4863049584164913
./models/LSTM_A0.001_2_16_48,0.26709769227691427,0.07134117721965318,0.1786225225290663,0.3724923134226311,0.13875052355894366,0.2837347263657317
./models/LSTM_A0.001_2_16_60,0.1485152021695141,0.022056765275451647,0.11472288417036525,1.4740226797631415,2.172742860456113,1.383556489268128
./models/LSTM_A0.001_2_32_12,0.2129694882821874,0.04535600293917676,0.17286488452443377,0.9858613807693066,0.9719226620923638,0.9232533657161559
./models/LSTM_A0.001_2_32_24,0.19620230881993353,0.03849534598627257,0.1504393615004438,1.4084244482150905,1.9836594263299818,1.3390351219955758
./models/LSTM_A0.001_2_32_36,0.24593686990475766,0.06048494397854969,0.14726219328989584,0.6147471179233925,0.37791401899511745,0.5836016838696539
./models/LSTM_A0.001_2_32_48,0.2547111277063531,0.06487775857744214,0.17182356330958545,0.4391173575369307,0.19282405369021663,0.34188740195060274
./models/LSTM_A0.001_2_32_60,0.218694254514244,0.04782717695754094,0.15532491053835745,0.9748671370165649,0.950365934834874,0.933165043903857
./models/LSTM_A0.001_3_8_12,0.3282297175778243,0.10773474750121831,0.21596911458076273,0.5051695516991261,0.2551962759638961,0.35087472663120334
./models/LSTM_A0.001_3_8_24,0.29798590137732456,0.0887955974196566,0.20480337133565554,0.44809032398098353,0.20078493844538278,0.3330440074862266
./models/LSTM_A0.001_3_8_36,0.22467473255521692,0.05047873544875824,0.16891160371527075,1.0613398215531584,1.12644221681449,1.0054312229351123
./models/LSTM_A0.001_3_8_48,0.2407710046253799,0.05797067666831471,0.1834752235147689,1.3309270441619523,1.7713667968816715,1.2613721823789636
./models/LSTM_A0.001_3_8_60,0.2792879920710582,0.07800178251508348,0.18478731263413206,0.6745980681660628,0.455082553573384,0.6246136134595288
./models/LSTM_A0.001_3_16_12,0.24493905349136713,0.05999513992524681,0.17649348697789904,0.9345266993837094,0.8733401518610099,0.8879287352367323
./models/LSTM_A0.001_3_16_24,0.209368715231807,0.0438352589178175,0.15162705778582009,0.9165865766011261,0.840130952405372,0.8685185598499923
./models/LSTM_A0.001_3_16_36,0.24303153977413994,0.05906432932498937,0.1614086115198831,0.46307791292121997,0.214441153435473,0.3728605694186932
./models/LSTM_A0.001_3_16_48,0.24200505954925963,0.058566448847440694,0.15488222052966025,0.3900493458356284,0.15213849218680164,0.28169515311961285
./models/LSTM_A0.001_3_16_60,0.20909370349158743,0.04372017683982788,0.15430000195649096,0.9514615405711594,0.905279063186044,0.9070925738081642
./models/LSTM_A0.001_3_32_12,0.2341357335352005,0.05481954171806641,0.17245897414262407,0.7493845128049497,0.5615771480319117,0.7200775374149792
./models/LSTM_A0.001_3_32_24,0.22802529939874175,0.05199553716588581,0.1503890279398202,0.4550746021389794,0.2070928935119504,0.3305178917038196
./models/LSTM_A0.001_3_32_36,0.23894743047668648,0.05709587453141092,0.14878938970590638,1.504872922280096,2.2646425122118363,1.4263354355899658
./models/LSTM_A0.001_3_32_48,0.2713950785768886,0.07365528867575553,0.16170027699735426,0.448821637997777,0.2014408627350076,0.29607649475701
./models/LSTM_A0.001_3_32_60,0.24235881860833328,0.058737796957226994,0.15547615923333263,0.44778890445140374,0.20051490294978838,0.36274251295109194
./models/LSTM_A1e-05_2_8_12,0.28922506156205235,0.08365113623557296,0.21497829848356212,0.5416648463652916,0.2934008057879349,0.49549738375994634
./models/LSTM_A1e-05_2_8_24,0.2838479919690393,0.0805696825448558,0.18662365043755647,0.6070902652789263,0.36855859019643705,0.48669655357088365
./models/LSTM_A1e-05_2_8_36,0.2399278491508697,0.05756537279816249,0.18181872609381883,2.5598051358470717,6.552602333509045,2.446023937181551
./models/LSTM_A1e-05_2_8_48,0.2685718259180293,0.07213082567694423,0.19492257288292017,0.37666989820827995,0.14188021221623598,0.2690026802335467
./models/LSTM_A1e-05_2_8_60,0.22075950018945148,0.04873475692389643,0.16942723879457022,1.4816498980592532,2.1952864204189955,1.3214041546218251
./models/LSTM_A1e-05_2_16_12,0.22655189443536153,0.05132576087225119,0.16103929196978795,0.9760871283387503,0.9527460821085881,0.9312527782771053
./models/LSTM_A1e-05_2_16_24,0.24383812605865943,0.05945703171979868,0.1679008923480229,0.5763765153353922,0.33220988743016966,0.5363665486160591
./models/LSTM_A1e-05_2_16_36,0.21131392142777125,0.04465357338918228,0.15064032986263431,0.35515481735328874,0.12613494428924787,0.24399633903892676
./models/LSTM_A1e-05_2_16_48,0.19764335695314156,0.03906289654770693,0.13619376048601897,0.8183510709556808,0.6696984753343098,0.7768984456548887
./models/LSTM_A1e-05_2_16_60,0.24712410804503135,0.061070324777052334,0.14782903896856914,0.5909905832603656,0.3492698695024271,0.5026137775401678
./models/LSTM_A1e-05_2_32_12,0.20760804926612716,0.04310110212008668,0.14334915594186318,0.6473392453225753,0.4190480985348013,0.6201042995550197
./models/LSTM_A1e-05_2_32_24,0.24346642158233353,0.05927589843810656,0.1630625590231601,0.3972056897360154,0.1577723599586637,0.2765701257939241
./models/LSTM_A1e-05_2_32_36,0.1801261131876621,0.032445416652094466,0.13853272790213433,1.0059829788957626,1.0120017538279922,0.9413150197243206
./models/LSTM_A1e-05_2_32_48,0.24077792147566482,0.05797400747014142,0.1476846088453409,0.43887826936955665,0.1926141353248171,0.29318684018874647
./models/LSTM_A1e-05_2_32_60,0.192853391933085,0.0371924307800961,0.13887596962572657,0.4452247112395429,0.19822504349833434,0.41102403662156095
./models/LSTM_A1e-05_3_8_12,0.3048265069354016,0.09291919933043842,0.20949878458255605,0.7856561501108832,0.6172555862070546,0.7504622008703195
./models/LSTM_A1e-05_3_8_24,0.25386909299044175,0.06444951637578956,0.1863823973009552,0.961259750946395,0.9240203087895255,0.9153890151588285
./models/LSTM_A1e-05_3_8_36,0.300060379294488,0.09003623122235199,0.186368839101245,0.5816447737221384,0.33831064279827755,0.4304691392596886
./models/LSTM_A1e-05_3_8_48,0.24347226564311938,0.059278744137393695,0.15639014478749447,0.3733807846593819,0.13941321035285573,0.27967427462461053
./models/LSTM_A1e-05_3_8_60,0.35634619432058307,0.12698261020676274,0.20832651615645814,0.6822545562842237,0.46547127957058304,0.5307122442722318
./models/LSTM_A1e-05_3_16_12,0.24837915434726954,0.06169220431426474,0.17407684234802623,1.1749146941444744,1.3804245385166036,1.1042451650171865
./models/LSTM_A1e-05_3_16_24,0.26144458654017555,0.06835327183116335,0.17010268025393321,0.5936160595617167,0.3523800261695796,0.543144206514164
./models/LSTM_A1e-05_3_16_36,0.25460503349813607,0.06482372308258699,0.17849835968017583,0.876735104141523,0.7686644428340472,0.8489685479524185
./models/LSTM_A1e-05_3_16_48,0.22827198244442554,0.052108097969108126,0.1512136288408963,0.6337794443299906,0.40167638405523165,0.5975106742430708
./models/LSTM_A1e-05_3_16_60,0.22250569259167213,0.0495087832356997,0.1698433509418734,0.5845348617449261,0.3416810045951598,0.5473405140127455
./models/LSTM_A1e-05_3_32_12,0.21098627689627433,0.04451520903855135,0.1595325684743654,0.8007613780468188,0.6412187845714403,0.7550832653629539
./models/LSTM_A1e-05_3_32_24,0.1912620661189833,0.03658117793610234,0.13374497715977654,0.913284254563206,0.8340881296330709,0.8649292007271127
./models/LSTM_A1e-05_3_32_36,0.19309929953228483,0.03728733947985905,0.14569106398398682,0.5795580105363649,0.3358874875768693,0.5493091994402362
./models/LSTM_A1e-05_3_32_48,0.26814218258633427,0.07190023008216302,0.16547618528582012,0.7412650501126505,0.5494738745185104,0.697076388451518
./models/LSTM_A1e-05_3_32_60,0.25751822471111174,0.06631563605836265,0.16377804781439936,0.4007360468632618,0.16058937925559438,0.27892192848847835
